robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0,0.97,0.03,77.13,5980000000000,70,70,1,70,4,0,0,0,0,180,0.0261,2450,2.3219,5,0.2849,0.8,0.0107,0,0.48,0.57,9,1,0,0,0
2,0.267,0.37,0.63,0,73.21,3389170000000,70,90,0,0,0,1,20,4,0,138.4615,0.0327,3150,2.3219,20,0.271,0.6,0.0167,0,0.46,0.75,6,1,0,0,0
0.22,0.113,0.63,0.37,0,114.71,2090000000000,70,70,1,70,5,0,0,0,0,90,0.0289,2450,2.3219,6,0.1678,0.7,0.0065,0,0.57,0.5,6,1,0,0,0
0.22,0.113,0.4,0.5,0.1,30.53,3990000000000,90,90,1,15,3,0,0,0,0,180,0.0163,4050,2.3219,2,0.7821,0,0,1,0,0,0,1,0,0,0
0.22,0.113,0.3,0.7,0,107.67,2480000000000,70,70,1,30,4,0,0,0,0,120,0.021,2450,2.3219,8,0.4659,0.6,0.0087,0,0.36,0.58,9,1,0,0,0
0.22,0.113,0.13,0.83,0.03,63.74,5190000000000,90,90,1,15,3,0,0,0,0,360,0.0173,4050,2.3219,1,0.7553,0,0,1,0.5,0.42,12,1,0,0,0
0.22,0.113,0.5,0.5,0,63.27,2630000000000,70,70,1,45,3,0,0,0,0,160,0.0212,2450,2.3219,8,0.4847,0.4,0.0167,0,0,0,0,1,0,0,0
1.1,0.625,0.97,0.03,0,35.68,714859000000,50,70,0,0,0,1,30,2,0,130.9091,0.0208,1750,2.3219,25,0.2403,0.7,0.0164,0,0,0,0,1,0,0,0
0.22,0.113,0.97,0,0.03,151.14,2590000000000,90,90,0,0,0,1,0,2,0,180,0.0454,4050,2.3219,2,0.044,0,0,1,0,0,0,1,0,0,0
0.22,0.113,0.03,0.93,0.03,74.81,5410000000000,70,70,1,15,4,0,0,0,0,360,0.0175,2450,2.3219,1,0.5818,0,0,1,0.44,0.42,9,1,0,0,0
0.22,0.113,0.5,0.5,0,65.07,1890000000000,70,70,1,45,4,0,0,0,0,360,0.0239,2450,2.3219,2,0.3629,1,0.0086,0,0.5,0.58,9,1,0,0,0
0.22,0.113,0.37,0.6,0.03,127.26,3050000000000,90,90,1,70,4,0,0,0,0,240,0.0321,4050,2.3219,5,0.4632,0.6,0.0071,0,0.85,0.65,4,1,0,0,0
1.1,0.625,0.73,0.27,0,44.89,1340640000000,50,70,0,0,0,1,0,6,0,180,0.0219,1750,2.3219,2,0.0674,1,0.0004,0,0.57,0.63,4,1,0,0,0
0.22,0.113,0.63,0.37,0,79.94,1440000000000,50,50,1,45,4,0,0,0,0,360,0.0136,1250,2.3219,1,0.35,0,0,1,0.6,0.57,4,1,0,0,0
1.1,0.625,0.33,0.6,0.07,32.74,3913430000000,50,90,0,0,0,1,40,4,0,317.6471,0.0184,2250,2.3219,9,0.546,0.6,0.0243,0.0001,0.56,0.64,6,1,0,0,0
0.22,0.113,0.03,0.9,0.07,88.26,5780000000000,90,90,1,45,5,0,0,0,0,270,0.0337,4050,2.3219,11,0.4214,0.5,0.0101,0,0.63,0.58,12,1,0,0,0
0.22,0.113,0.2,0.77,0.03,140.74,2600000000000,90,90,1,15,4,0,0,0,0,240,0.0215,4050,2.3219,3,0.672,1,0.0041,0,0.52,0.68,8,1,0,0,0
0.22,0.113,0.34,0.66,0,87.4,2930000000000,90,90,1,70,3,0,0,0,0,270,0.0332,4050,2.3219,10,0.479,0.5,0.0088,0,0.55,0.52,12,1,0,0,0
0.22,0.113,0.73,0.2,0.07,91.42,2180000000000,70,70,1,70,3,0,0,0,0,169.4118,0.0248,2450,2.3219,15,0.3706,0.5,0.0104,0,0,0,0,1,0,0,0
0.22,0.113,0.13,0.83,0.03,109.94,3730000000000,90,90,1,30,3,0,0,0,0,180,0.0256,4050,2.3219,5,0.616,0.6,0.0072,0,0.52,0.61,8,1,0,0,0
0.22,0.113,0.73,0.27,0,58.35,1510000000000,50,50,1,45,4,0,0,0,0,180,0.014,1250,2.3219,2,0.318,0,0,1,0.73,0.48,4,1,0,0,0
0.22,0.113,0.3,0.67,0.03,113.2,2800000000000,90,90,1,45,3,0,0,0,0,360,0.0307,4050,2.3219,4,0.5273,0.5,0.0228,0,0.59,0.85,4,1,0,0,0
0.22,0.113,0.37,0.63,0,95.04,2410000000000,70,70,1,30,5,0,0,0,0,180,0.0213,2450,2.3219,4,0.4286,1,0.0083,0,0.44,0.53,6,1,0,0,0
0.22,0.113,0.07,0.87,0.07,64.58,5630000000000,70,70,0,0,0,1,20,6,0,342.8571,0.0196,2450,2.3219,7,0.5131,0.6,0.6294,0.0137,0.66,0.53,6,1,0,0,0
